TEXT,cEXT,cNEU,cAGR,cCON,cOPN
"I finish tasks before they have time to worry me Crowded rooms charge my spirit like electricity I listen first, judge later, if ever Tiny worries grow into forests in my head Abstract ideas glitter brighter than gold",y,y,y,y,y
Deadlines feel like friendly checkpoints Kindness feels like common sense in motion Crowds blur my thoughts; I prefer one deep voice Art museums feel like playgrounds Mood swings arrive without invitation or warning,n,y,y,y,y
I lose track of time when ideas spark I question every rule before following I replay mistakes in my mind like scratched vinyl Debates are battles I aim to win I thrive when surrounded by lively conversations,y,y,n,n,y
"Tradition steadies my steps like a familiar song Quiet corners are my favourite kingdoms I double‑check locks, lights, and lines of code I process setbacks, then move forward I’d rather make peace than score points",n,n,y,y,n
"My desk is chaos where creativity blooms Worry rarely finds a foothold in my mind Meeting new faces feels like opening surprise gifts I rely on proven methods, not wild notions I’d rather make peace than score points",y,n,y,n,n
I catch storms of doubt over clear skies I value honesty above fragile feelings Silence bores me; I chase the next social spark Art museums feel like playgrounds I finish tasks before they have time to worry me,y,y,n,y,y
"I finish tasks before they have time to worry me Crowded rooms charge my spirit like electricity Gentle words soften the hardest debates Books on quantum poetry excite me I process setbacks, then move forward",y,n,y,y,y
Small talk drains my battery to red Debates are battles I aim to win Anxiety knots itself around my late‑night thoughts Practical solutions beat abstract theories I finish tasks before they have time to worry me,n,y,n,y,n
"Tiny worries grow into forests in my head I collect perspectives the way others collect stamps Gentle words soften the hardest debates Plans are suggestions, not iron gates Small talk drains my battery to red",n,y,y,n,y
"Optimism anchors me against dark currents Abstract ideas glitter brighter than gold Crowded rooms charge my spirit like electricity I listen first, judge later, if ever Calendars and lists guide my every sunrise",y,n,y,y,y
I breathe evenly through most tempests Deadlines bend to my last‑minute miracles I chase new experiences like constellations I harvest energy from solitude and soft music I value honesty above fragile feelings,n,n,n,n,y
"I talk my ideas into existence with anyone nearby I listen first, judge later, if ever Books on quantum poetry excite me My mood is a calm lake at dawn I lose track of time when ideas spark",y,n,y,n,y
"I rely on proven methods, not wild notions I harvest energy from solitude and soft music I value honesty above fragile feelings Anxiety knots itself around my late‑night thoughts Plans are suggestions, not iron gates",n,y,n,n,n
"Helping others paints colour into my day Stress slides off me like rain on glass Order calms me like deep breathing After social storms, I retreat into books Books on quantum poetry excite me",n,n,y,y,y
"I talk my ideas into existence with anyone nearby I lose track of time when ideas spark Helping others paints colour into my day Worry rarely finds a foothold in my mind I rely on proven methods, not wild notions",y,n,y,n,n
I offer smiles as default greetings Punctuality is my silent love language My mood is a calm lake at dawn I harvest energy from solitude and soft music Abstract ideas glitter brighter than gold,n,n,y,y,y
Competition tastes sweeter than compromise I lose track of time when ideas spark Small talk drains my battery to red Stress lingers even in calm rooms I chase new experiences like constellations,n,y,n,n,y
"I talk my ideas into existence with anyone nearby I replay mistakes in my mind like scratched vinyl Sarcasm is my native dialect I finish tasks before they have time to worry me I rely on proven methods, not wild notions",y,y,n,y,n
I question every rule before following I speak blunt truths even if they cut Quiet corners are my favourite kingdoms I replay mistakes in my mind like scratched vinyl I lose track of time when ideas spark,n,y,n,n,y
"Sarcasm is my native dialect I double‑check locks, lights, and lines of code Meeting new faces feels like opening surprise gifts Fiction rarely appeals compared to manuals Anxiety knots itself around my late‑night thoughts",y,y,n,y,n
Crowded rooms charge my spirit like electricity Calendars and lists guide my every sunrise Sarcasm is my native dialect Art museums feel like playgrounds I replay mistakes in my mind like scratched vinyl,y,y,n,y,y
Gentle words soften the hardest debates Mood swings arrive without invitation or warning I harvest energy from solitude and soft music Calendars and lists guide my every sunrise Fiction rarely appeals compared to manuals,n,y,y,y,n
"Tradition steadies my steps like a familiar song Optimism anchors me against dark currents After social storms, I retreat into books I value honesty above fragile feelings Spontaneity steers my daily map",n,n,n,n,n
"Tradition steadies my steps like a familiar song I process setbacks, then move forward I listen first, judge later, if ever Spontaneity steers my daily map Long talks exhaust me faster than a night run",n,n,y,n,n
Mood swings arrive without invitation or warning I collect perspectives the way others collect stamps I lose track of time when ideas spark I offer smiles as default greetings I talk my ideas into existence with anyone nearby,y,y,y,n,y
"Order calms me like deep breathing Quiet corners are my favourite kingdoms I replay mistakes in my mind like scratched vinyl I listen first, judge later, if ever I rely on proven methods, not wild notions",n,y,y,y,n
Sarcasm is my native dialect I catch storms of doubt over clear skies Quiet corners are my favourite kingdoms Spontaneity steers my daily map Practical solutions beat abstract theories,n,y,n,n,n
"Crowds blur my thoughts; I prefer one deep voice Spontaneity steers my daily map I chase new experiences like constellations I breathe evenly through most tempests I listen first, judge later, if ever",n,n,y,n,y
"Punctuality is my silent love language Competition tastes sweeter than compromise I collect perspectives the way others collect stamps After social storms, I retreat into books Optimism anchors me against dark currents",n,n,n,y,y
I finish tasks before they have time to worry me Silence bores me; I chase the next social spark Books on quantum poetry excite me Tiny worries grow into forests in my head Kindness feels like common sense in motion,y,y,y,y,y
"I’d rather make peace than score points I talk my ideas into existence with anyone nearby I process setbacks, then move forward I lose track of time when ideas spark I prefer facts over fantasies",y,n,y,n,n
Quiet corners are my favourite kingdoms Gentle words soften the hardest debates Abstract ideas glitter brighter than gold Optimism anchors me against dark currents Deadlines feel like friendly checkpoints,n,n,y,y,y
I replay mistakes in my mind like scratched vinyl Being right matters more than being liked I harvest energy from solitude and soft music I lose track of time when ideas spark I question every rule before following,n,y,n,n,y
"I thrive when surrounded by lively conversations Optimism anchors me against dark currents Punctuality is my silent love language Change is interesting— from a safe distance I listen first, judge later, if ever",y,n,y,y,n
I chase new experiences like constellations I’d rather make peace than score points Anxiety knots itself around my late‑night thoughts Calendars and lists guide my every sunrise Meeting new faces feels like opening surprise gifts,y,y,y,y,y
Deadlines feel like friendly checkpoints Competition tastes sweeter than compromise Mood swings arrive without invitation or warning Art museums feel like playgrounds Parties feel like home turf where I refuel,y,y,n,y,y
Tradition steadies my steps like a familiar song Punctuality is my silent love language Gentle words soften the hardest debates I harvest energy from solitude and soft music Stress lingers even in calm rooms,n,y,y,y,n
Punctuality is my silent love language Crowds blur my thoughts; I prefer one deep voice Practical solutions beat abstract theories My mood is a calm lake at dawn Kindness feels like common sense in motion,n,n,y,y,n
"Crowds blur my thoughts; I prefer one deep voice I speak blunt truths even if they cut I double‑check locks, lights, and lines of code I collect perspectives the way others collect stamps I replay mistakes in my mind like scratched vinyl",n,y,n,y,y
Debates are battles I aim to win My desk is chaos where creativity blooms Long talks exhaust me faster than a night run Stress lingers even in calm rooms I prefer facts over fantasies,n,y,n,n,n
"Calendars and lists guide my every sunrise Small talk drains my battery to red Abstract ideas glitter brighter than gold My mood is a calm lake at dawn I listen first, judge later, if ever",n,n,y,y,y
"Crowded rooms charge my spirit like electricity Calendars and lists guide my every sunrise I rely on proven methods, not wild notions Stress slides off me like rain on glass I’d rather make peace than score points",y,n,y,y,n
Quiet corners are my favourite kingdoms I’d rather make peace than score points My desk is chaos where creativity blooms I question every rule before following I replay mistakes in my mind like scratched vinyl,n,y,y,n,y
Fiction rarely appeals compared to manuals Kindness feels like common sense in motion Small talk drains my battery to red Calendars and lists guide my every sunrise Anxiety knots itself around my late‑night thoughts,n,y,y,y,n
I speak blunt truths even if they cut Stress lingers even in calm rooms Books on quantum poetry excite me Order calms me like deep breathing Silence bores me; I chase the next social spark,y,y,n,y,y
"Abstract ideas glitter brighter than gold Meeting new faces feels like opening surprise gifts Anxiety knots itself around my late‑night thoughts Being right matters more than being liked Plans are suggestions, not iron gates",y,y,n,n,y
Sarcasm is my native dialect Stress slides off me like rain on glass Spontaneity steers my daily map I collect perspectives the way others collect stamps Crowds blur my thoughts; I prefer one deep voice,n,n,n,n,y
"I catch storms of doubt over clear skies Books on quantum poetry excite me I listen first, judge later, if ever Quiet corners are my favourite kingdoms Order calms me like deep breathing",n,y,y,y,y
I collect perspectives the way others collect stamps Punctuality is my silent love language I harvest energy from solitude and soft music I’d rather make peace than score points My mood is a calm lake at dawn,n,n,y,y,y
"Abstract ideas glitter brighter than gold Spontaneity steers my daily map I process setbacks, then move forward I listen first, judge later, if ever Crowds blur my thoughts; I prefer one deep voice",n,n,y,n,y
I value honesty above fragile feelings My desk is chaos where creativity blooms Fiction rarely appeals compared to manuals Anxiety knots itself around my late‑night thoughts Silence bores me; I chase the next social spark,y,y,n,n,n
"Plans are suggestions, not iron gates I talk my ideas into existence with anyone nearby I collect perspectives the way others collect stamps Gentle words soften the hardest debates Tiny worries grow into forests in my head",y,y,y,n,y
Optimism anchors me against dark currents Helping others paints colour into my day Punctuality is my silent love language Abstract ideas glitter brighter than gold Parties feel like home turf where I refuel,y,n,y,y,y
Quiet corners are my favourite kingdoms Sarcasm is my native dialect Spontaneity steers my daily map Stress lingers even in calm rooms Abstract ideas glitter brighter than gold,n,y,n,n,y
Worry rarely finds a foothold in my mind Abstract ideas glitter brighter than gold Competition tastes sweeter than compromise Deadlines feel like friendly checkpoints I talk my ideas into existence with anyone nearby,y,n,n,y,y
"Mood swings arrive without invitation or warning Calendars and lists guide my every sunrise I chase new experiences like constellations I listen first, judge later, if ever Silence bores me; I chase the next social spark",y,y,y,y,y
"I listen first, judge later, if ever I question every rule before following I process setbacks, then move forward After social storms, I retreat into books I lose track of time when ideas spark",n,n,y,n,y
My desk is chaos where creativity blooms Stress slides off me like rain on glass I thrive when surrounded by lively conversations Practical solutions beat abstract theories Helping others paints colour into my day,y,n,y,n,n
"I replay mistakes in my mind like scratched vinyl Helping others paints colour into my day Silence bores me; I chase the next social spark I collect perspectives the way others collect stamps I double‑check locks, lights, and lines of code",y,y,y,y,y
"I value honesty above fragile feelings I prefer facts over fantasies Plans are suggestions, not iron gates Tiny worries grow into forests in my head I harvest energy from solitude and soft music",n,y,n,n,n
I chase new experiences like constellations Crowded rooms charge my spirit like electricity Stress lingers even in calm rooms I lose track of time when ideas spark I value honesty above fragile feelings,y,y,n,n,y
Anxiety knots itself around my late‑night thoughts Art museums feel like playgrounds Competition tastes sweeter than compromise Formality suffocates my freeform workflow I harvest energy from solitude and soft music,n,y,n,n,y
"I process setbacks, then move forward Formality suffocates my freeform workflow Art museums feel like playgrounds I harvest energy from solitude and soft music Competition tastes sweeter than compromise",n,n,n,n,y
"I double‑check locks, lights, and lines of code I catch storms of doubt over clear skies Change is interesting— from a safe distance After social storms, I retreat into books Gentle words soften the hardest debates",n,y,y,y,n
I value honesty above fragile feelings My mood is a calm lake at dawn Art museums feel like playgrounds Deadlines feel like friendly checkpoints Parties feel like home turf where I refuel,y,n,n,y,y
"I chase new experiences like constellations Helping others paints colour into my day I double‑check locks, lights, and lines of code Silence bores me; I chase the next social spark Tiny worries grow into forests in my head",y,y,y,y,y
I breathe evenly through most tempests Art museums feel like playgrounds Sarcasm is my native dialect Meeting new faces feels like opening surprise gifts I finish tasks before they have time to worry me,y,n,n,y,y
"Mood swings arrive without invitation or warning Formality suffocates my freeform workflow I rely on proven methods, not wild notions I harvest energy from solitude and soft music I offer smiles as default greetings",n,y,y,n,n
I finish tasks before they have time to worry me Art museums feel like playgrounds Crowded rooms charge my spirit like electricity I’d rather make peace than score points Optimism anchors me against dark currents,y,n,y,y,y
Worry rarely finds a foothold in my mind Parties feel like home turf where I refuel Books on quantum poetry excite me I offer smiles as default greetings Calendars and lists guide my every sunrise,y,n,y,y,y
Parties feel like home turf where I refuel Art museums feel like playgrounds Stress lingers even in calm rooms Deadlines feel like friendly checkpoints I’d rather make peace than score points,y,y,y,y,y
I catch storms of doubt over clear skies Fiction rarely appeals compared to manuals Long talks exhaust me faster than a night run Competition tastes sweeter than compromise I lose track of time when ideas spark,n,y,n,n,n
Small talk drains my battery to red Deadlines bend to my last‑minute miracles Debates are battles I aim to win Abstract ideas glitter brighter than gold I replay mistakes in my mind like scratched vinyl,n,y,n,n,y
"Fiction rarely appeals compared to manuals My desk is chaos where creativity blooms Tiny worries grow into forests in my head I listen first, judge later, if ever I thrive when surrounded by lively conversations",y,y,y,n,n
Anxiety knots itself around my late‑night thoughts Parties feel like home turf where I refuel Tradition steadies my steps like a familiar song Calendars and lists guide my every sunrise Helping others paints colour into my day,y,y,y,y,n
"Crowds blur my thoughts; I prefer one deep voice I breathe evenly through most tempests Punctuality is my silent love language I listen first, judge later, if ever Fiction rarely appeals compared to manuals",n,n,y,y,n
I’d rather make peace than score points I chase new experiences like constellations I harvest energy from solitude and soft music Punctuality is my silent love language I replay mistakes in my mind like scratched vinyl,n,y,y,y,y
Anxiety knots itself around my late‑night thoughts Change is interesting— from a safe distance Competition tastes sweeter than compromise Deadlines bend to my last‑minute miracles I harvest energy from solitude and soft music,n,y,n,n,n
"Tiny worries grow into forests in my head Sarcasm is my native dialect Plans are suggestions, not iron gates Fiction rarely appeals compared to manuals Crowded rooms charge my spirit like electricity",y,y,n,n,n
My mood is a calm lake at dawn I offer smiles as default greetings Books on quantum poetry excite me My desk is chaos where creativity blooms I talk my ideas into existence with anyone nearby,y,n,y,n,y
"I speak blunt truths even if they cut Long talks exhaust me faster than a night run Plans are suggestions, not iron gates Mood swings arrive without invitation or warning Change is interesting— from a safe distance",n,y,n,n,n
"Long talks exhaust me faster than a night run I speak blunt truths even if they cut I double‑check locks, lights, and lines of code I prefer facts over fantasies Tiny worries grow into forests in my head",n,y,n,y,n
I’d rather make peace than score points Change is interesting— from a safe distance Crowded rooms charge my spirit like electricity Formality suffocates my freeform workflow Tiny worries grow into forests in my head,y,y,y,n,n
Deadlines feel like friendly checkpoints I value honesty above fragile feelings Practical solutions beat abstract theories Mood swings arrive without invitation or warning Quiet corners are my favourite kingdoms,n,y,n,y,n
"After social storms, I retreat into books Helping others paints colour into my day Worry rarely finds a foothold in my mind Plans are suggestions, not iron gates I question every rule before following",n,n,y,n,y
I finish tasks before they have time to worry me I catch storms of doubt over clear skies I question every rule before following Kindness feels like common sense in motion Crowded rooms charge my spirit like electricity,y,y,y,y,y
"Practical solutions beat abstract theories Anxiety knots itself around my late‑night thoughts I listen first, judge later, if ever Quiet corners are my favourite kingdoms Punctuality is my silent love language",n,y,y,y,n
Long talks exhaust me faster than a night run My mood is a calm lake at dawn I value honesty above fragile feelings I lose track of time when ideas spark Abstract ideas glitter brighter than gold,n,n,n,n,y
"I speak blunt truths even if they cut Silence bores me; I chase the next social spark Stress slides off me like rain on glass I rely on proven methods, not wild notions Punctuality is my silent love language",y,n,n,y,n
Helping others paints colour into my day Punctuality is my silent love language Stress slides off me like rain on glass Practical solutions beat abstract theories I thrive when surrounded by lively conversations,y,n,y,y,n
"Fiction rarely appeals compared to manuals My mood is a calm lake at dawn Silence bores me; I chase the next social spark Gentle words soften the hardest debates Plans are suggestions, not iron gates",y,n,y,n,n
Tradition steadies my steps like a familiar song Punctuality is my silent love language Parties feel like home turf where I refuel Helping others paints colour into my day Anxiety knots itself around my late‑night thoughts,y,y,y,y,n
I question every rule before following Mood swings arrive without invitation or warning I finish tasks before they have time to worry me Meeting new faces feels like opening surprise gifts I value honesty above fragile feelings,y,y,n,y,y
"Small talk drains my battery to red Practical solutions beat abstract theories I breathe evenly through most tempests I double‑check locks, lights, and lines of code Being right matters more than being liked",n,n,n,y,n
I speak blunt truths even if they cut Tradition steadies my steps like a familiar song Mood swings arrive without invitation or warning Small talk drains my battery to red Spontaneity steers my daily map,n,y,n,n,n
"I talk my ideas into existence with anyone nearby Books on quantum poetry excite me Stress slides off me like rain on glass I speak blunt truths even if they cut Plans are suggestions, not iron gates",y,n,n,n,y
I offer smiles as default greetings Deadlines bend to my last‑minute miracles Books on quantum poetry excite me Stress lingers even in calm rooms Crowded rooms charge my spirit like electricity,y,y,y,n,y
I catch storms of doubt over clear skies I’d rather make peace than score points Long talks exhaust me faster than a night run Fiction rarely appeals compared to manuals Spontaneity steers my daily map,n,y,y,n,n
"Plans are suggestions, not iron gates Stress slides off me like rain on glass Crowded rooms charge my spirit like electricity Change is interesting— from a safe distance Gentle words soften the hardest debates",y,n,y,n,n
I replay mistakes in my mind like scratched vinyl I lose track of time when ideas spark I’d rather make peace than score points Abstract ideas glitter brighter than gold Crowded rooms charge my spirit like electricity,y,y,y,n,y
Long talks exhaust me faster than a night run I prefer facts over fantasies Stress slides off me like rain on glass Gentle words soften the hardest debates Order calms me like deep breathing,n,n,y,y,n
My mood is a calm lake at dawn Fiction rarely appeals compared to manuals I’d rather make peace than score points I finish tasks before they have time to worry me Crowded rooms charge my spirit like electricity,y,n,y,y,n
"Plans are suggestions, not iron gates Quiet corners are my favourite kingdoms I rely on proven methods, not wild notions Optimism anchors me against dark currents Gentle words soften the hardest debates",n,n,y,n,n
"Parties feel like home turf where I refuel I process setbacks, then move forward I speak blunt truths even if they cut I chase new experiences like constellations I finish tasks before they have time to worry me",y,n,n,y,y
"Crowds blur my thoughts; I prefer one deep voice Fiction rarely appeals compared to manuals Sarcasm is my native dialect Optimism anchors me against dark currents I double‑check locks, lights, and lines of code",n,n,n,y,n
I lose track of time when ideas spark I offer smiles as default greetings I thrive when surrounded by lively conversations Mood swings arrive without invitation or warning Abstract ideas glitter brighter than gold,y,y,y,n,y
Kindness feels like common sense in motion Tiny worries grow into forests in my head Punctuality is my silent love language I talk my ideas into existence with anyone nearby I prefer facts over fantasies,y,y,y,y,n
"I speak blunt truths even if they cut I process setbacks, then move forward Crowded rooms charge my spirit like electricity I prefer facts over fantasies Formality suffocates my freeform workflow",y,n,n,n,n
Stress slides off me like rain on glass Debates are battles I aim to win Small talk drains my battery to red I lose track of time when ideas spark I question every rule before following,n,n,n,n,y
Gentle words soften the hardest debates I talk my ideas into existence with anyone nearby Abstract ideas glitter brighter than gold Order calms me like deep breathing I catch storms of doubt over clear skies,y,y,y,y,y
I prefer facts over fantasies Kindness feels like common sense in motion Spontaneity steers my daily map I replay mistakes in my mind like scratched vinyl Silence bores me; I chase the next social spark,y,y,y,n,n
I speak blunt truths even if they cut Fiction rarely appeals compared to manuals I breathe evenly through most tempests Long talks exhaust me faster than a night run I lose track of time when ideas spark,n,n,n,n,n
My mood is a calm lake at dawn I value honesty above fragile feelings I question every rule before following Small talk drains my battery to red Spontaneity steers my daily map,n,n,n,n,y
Punctuality is my silent love language Change is interesting— from a safe distance Competition tastes sweeter than compromise Anxiety knots itself around my late‑night thoughts Long talks exhaust me faster than a night run,n,y,n,y,n
"Quiet corners are my favourite kingdoms I replay mistakes in my mind like scratched vinyl Formality suffocates my freeform workflow I listen first, judge later, if ever I prefer facts over fantasies",n,y,y,n,n
Mood swings arrive without invitation or warning Crowds blur my thoughts; I prefer one deep voice Formality suffocates my freeform workflow Being right matters more than being liked Change is interesting— from a safe distance,n,y,n,n,n
I value honesty above fragile feelings Meeting new faces feels like opening surprise gifts Worry rarely finds a foothold in my mind I prefer facts over fantasies Deadlines feel like friendly checkpoints,y,n,n,y,n
"Small talk drains my battery to red Practical solutions beat abstract theories Anxiety knots itself around my late‑night thoughts Debates are battles I aim to win Plans are suggestions, not iron gates",n,y,n,n,n
Spontaneity steers my daily map I’d rather make peace than score points Mood swings arrive without invitation or warning Tradition steadies my steps like a familiar song Long talks exhaust me faster than a night run,n,y,y,n,n
"Debates are battles I aim to win Fiction rarely appeals compared to manuals Deadlines bend to my last‑minute miracles After social storms, I retreat into books Worry rarely finds a foothold in my mind",n,n,n,n,n
"Abstract ideas glitter brighter than gold I listen first, judge later, if ever Silence bores me; I chase the next social spark Deadlines feel like friendly checkpoints Anxiety knots itself around my late‑night thoughts",y,y,y,y,y
Tiny worries grow into forests in my head Deadlines bend to my last‑minute miracles Long talks exhaust me faster than a night run Art museums feel like playgrounds I offer smiles as default greetings,n,y,y,n,y
Tiny worries grow into forests in my head Meeting new faces feels like opening surprise gifts I speak blunt truths even if they cut Deadlines bend to my last‑minute miracles I collect perspectives the way others collect stamps,y,y,n,n,y
I chase new experiences like constellations I replay mistakes in my mind like scratched vinyl I finish tasks before they have time to worry me Silence bores me; I chase the next social spark I’d rather make peace than score points,y,y,y,y,y
"Quiet corners are my favourite kingdoms Plans are suggestions, not iron gates I collect perspectives the way others collect stamps I catch storms of doubt over clear skies I listen first, judge later, if ever",n,y,y,n,y
Stress lingers even in calm rooms I lose track of time when ideas spark Long talks exhaust me faster than a night run Art museums feel like playgrounds Helping others paints colour into my day,n,y,y,n,y
Being right matters more than being liked Spontaneity steers my daily map Anxiety knots itself around my late‑night thoughts I harvest energy from solitude and soft music I prefer facts over fantasies,n,y,n,n,n
"I rely on proven methods, not wild notions Worry rarely finds a foothold in my mind Long talks exhaust me faster than a night run I double‑check locks, lights, and lines of code I listen first, judge later, if ever",n,n,y,y,n
My mood is a calm lake at dawn Formality suffocates my freeform workflow I question every rule before following I talk my ideas into existence with anyone nearby I’d rather make peace than score points,y,n,y,n,y
My mood is a calm lake at dawn Order calms me like deep breathing Small talk drains my battery to red I prefer facts over fantasies Being right matters more than being liked,n,n,n,y,n
"Plans are suggestions, not iron gates Tiny worries grow into forests in my head Debates are battles I aim to win Art museums feel like playgrounds Parties feel like home turf where I refuel",y,y,n,n,y
Optimism anchors me against dark currents Silence bores me; I chase the next social spark Spontaneity steers my daily map Helping others paints colour into my day Abstract ideas glitter brighter than gold,y,n,y,n,y
"Kindness feels like common sense in motion Plans are suggestions, not iron gates I rely on proven methods, not wild notions Long talks exhaust me faster than a night run My mood is a calm lake at dawn",n,n,y,n,n
"I talk my ideas into existence with anyone nearby Formality suffocates my freeform workflow Fiction rarely appeals compared to manuals I’d rather make peace than score points I process setbacks, then move forward",y,n,y,n,n
"Meeting new faces feels like opening surprise gifts I’d rather make peace than score points Change is interesting— from a safe distance Plans are suggestions, not iron gates Worry rarely finds a foothold in my mind",y,n,y,n,n
"Fiction rarely appeals compared to manuals I offer smiles as default greetings Small talk drains my battery to red I double‑check locks, lights, and lines of code I replay mistakes in my mind like scratched vinyl",n,y,y,y,n
Spontaneity steers my daily map I question every rule before following Helping others paints colour into my day Small talk drains my battery to red Tiny worries grow into forests in my head,n,y,y,n,y
Deadlines feel like friendly checkpoints I chase new experiences like constellations I talk my ideas into existence with anyone nearby Mood swings arrive without invitation or warning Debates are battles I aim to win,y,y,n,y,y
Deadlines bend to my last‑minute miracles Tiny worries grow into forests in my head Tradition steadies my steps like a familiar song Parties feel like home turf where I refuel Sarcasm is my native dialect,y,y,n,n,n
"I value honesty above fragile feelings After social storms, I retreat into books Formality suffocates my freeform workflow Optimism anchors me against dark currents Books on quantum poetry excite me",n,n,n,n,y
Crowds blur my thoughts; I prefer one deep voice I replay mistakes in my mind like scratched vinyl Fiction rarely appeals compared to manuals Being right matters more than being liked Calendars and lists guide my every sunrise,n,y,n,y,n
Fiction rarely appeals compared to manuals Deadlines bend to my last‑minute miracles Anxiety knots itself around my late‑night thoughts Long talks exhaust me faster than a night run I offer smiles as default greetings,n,y,y,n,n
"Mood swings arrive without invitation or warning I collect perspectives the way others collect stamps I’d rather make peace than score points Plans are suggestions, not iron gates I thrive when surrounded by lively conversations",y,y,y,n,y
"Crowds blur my thoughts; I prefer one deep voice Gentle words soften the hardest debates Plans are suggestions, not iron gates I breathe evenly through most tempests Books on quantum poetry excite me",n,n,y,n,y
"I’d rather make peace than score points Crowded rooms charge my spirit like electricity Worry rarely finds a foothold in my mind I chase new experiences like constellations Plans are suggestions, not iron gates",y,n,y,n,y
I harvest energy from solitude and soft music Art museums feel like playgrounds Calendars and lists guide my every sunrise I replay mistakes in my mind like scratched vinyl Gentle words soften the hardest debates,n,y,y,y,y
"Gentle words soften the hardest debates Worry rarely finds a foothold in my mind I double‑check locks, lights, and lines of code I thrive when surrounded by lively conversations Change is interesting— from a safe distance",y,n,y,y,n
"I thrive when surrounded by lively conversations I offer smiles as default greetings Art museums feel like playgrounds Deadlines feel like friendly checkpoints I process setbacks, then move forward",y,n,y,y,y
Crowded rooms charge my spirit like electricity I chase new experiences like constellations Mood swings arrive without invitation or warning Gentle words soften the hardest debates My desk is chaos where creativity blooms,y,y,y,n,y
Silence bores me; I chase the next social spark Tradition steadies my steps like a familiar song I breathe evenly through most tempests I speak blunt truths even if they cut I finish tasks before they have time to worry me,y,n,n,y,n
Books on quantum poetry excite me Kindness feels like common sense in motion My mood is a calm lake at dawn Silence bores me; I chase the next social spark Calendars and lists guide my every sunrise,y,n,y,y,y
Deadlines feel like friendly checkpoints Practical solutions beat abstract theories I offer smiles as default greetings Worry rarely finds a foothold in my mind I harvest energy from solitude and soft music,n,n,y,y,n
"Kindness feels like common sense in motion Parties feel like home turf where I refuel I process setbacks, then move forward Abstract ideas glitter brighter than gold I finish tasks before they have time to worry me",y,n,y,y,y
"Deadlines bend to my last‑minute miracles I talk my ideas into existence with anyone nearby I replay mistakes in my mind like scratched vinyl Books on quantum poetry excite me I listen first, judge later, if ever",y,y,y,n,y
Crowds blur my thoughts; I prefer one deep voice Anxiety knots itself around my late‑night thoughts Fiction rarely appeals compared to manuals My desk is chaos where creativity blooms I offer smiles as default greetings,n,y,y,n,n
Small talk drains my battery to red I offer smiles as default greetings Mood swings arrive without invitation or warning Punctuality is my silent love language I chase new experiences like constellations,n,y,y,y,y
Order calms me like deep breathing Stress slides off me like rain on glass Abstract ideas glitter brighter than gold Quiet corners are my favourite kingdoms I’d rather make peace than score points,n,n,y,y,y
I chase new experiences like constellations Long talks exhaust me faster than a night run Punctuality is my silent love language Gentle words soften the hardest debates My mood is a calm lake at dawn,n,n,y,y,y
Sarcasm is my native dialect Stress lingers even in calm rooms Tradition steadies my steps like a familiar song Quiet corners are my favourite kingdoms I lose track of time when ideas spark,n,y,n,n,n
I finish tasks before they have time to worry me Debates are battles I aim to win Tradition steadies my steps like a familiar song Optimism anchors me against dark currents Long talks exhaust me faster than a night run,n,n,n,y,n
I thrive when surrounded by lively conversations I breathe evenly through most tempests Order calms me like deep breathing Debates are battles I aim to win Change is interesting— from a safe distance,y,n,n,y,n
Spontaneity steers my daily map Art museums feel like playgrounds I offer smiles as default greetings I talk my ideas into existence with anyone nearby I replay mistakes in my mind like scratched vinyl,y,y,y,n,y
Kindness feels like common sense in motion Anxiety knots itself around my late‑night thoughts Practical solutions beat abstract theories Quiet corners are my favourite kingdoms Punctuality is my silent love language,n,y,y,y,n
Worry rarely finds a foothold in my mind Kindness feels like common sense in motion Art museums feel like playgrounds Quiet corners are my favourite kingdoms I lose track of time when ideas spark,n,n,y,n,y
Sarcasm is my native dialect I finish tasks before they have time to worry me I talk my ideas into existence with anyone nearby I question every rule before following I replay mistakes in my mind like scratched vinyl,y,y,n,y,y
Fiction rarely appeals compared to manuals I talk my ideas into existence with anyone nearby My mood is a calm lake at dawn I speak blunt truths even if they cut Spontaneity steers my daily map,y,n,n,n,n
"Crowded rooms charge my spirit like electricity I listen first, judge later, if ever I catch storms of doubt over clear skies Practical solutions beat abstract theories Spontaneity steers my daily map",y,y,y,n,n
Anxiety knots itself around my late‑night thoughts Spontaneity steers my daily map I thrive when surrounded by lively conversations Being right matters more than being liked Tradition steadies my steps like a familiar song,y,y,n,n,n
I harvest energy from solitude and soft music Being right matters more than being liked Deadlines bend to my last‑minute miracles Worry rarely finds a foothold in my mind I collect perspectives the way others collect stamps,n,n,n,n,y
I prefer facts over fantasies Mood swings arrive without invitation or warning Sarcasm is my native dialect Order calms me like deep breathing Quiet corners are my favourite kingdoms,n,y,n,y,n
I offer smiles as default greetings Silence bores me; I chase the next social spark Art museums feel like playgrounds Order calms me like deep breathing Worry rarely finds a foothold in my mind,y,n,y,y,y
Gentle words soften the hardest debates Small talk drains my battery to red Calendars and lists guide my every sunrise Practical solutions beat abstract theories Tiny worries grow into forests in my head,n,y,y,y,n
"Calendars and lists guide my every sunrise After social storms, I retreat into books Practical solutions beat abstract theories Being right matters more than being liked Tiny worries grow into forests in my head",n,y,n,y,n
I breathe evenly through most tempests Deadlines bend to my last‑minute miracles Art museums feel like playgrounds Small talk drains my battery to red Gentle words soften the hardest debates,n,n,y,n,y
